player_id,player_name,primary_team,condition,off_appearances,on_appearances,off_minutes,on_minutes,off_xgi_per90,on_xgi_per90,off_goal_involvements_per90,on_goal_involvements_per90,off_team_points,on_team_points,sample_balance
8777,Vitinha,Wolverhampton Wanderers,cold,5,14,170.0,330.0,0.2686524871627196,0.23934302919290265,0.0,0.2727272727272727,1.2,0.9285714285714286,0.5151515151515151
8778,Fabio Silva,Wolverhampton Wanderers,rain,17,45,643.0,1513.0,0.4045455096489395,0.5186982762489544,0.0,0.4163912756113682,0.8823529411764706,1.2444444444444445,0.4249834765366821
8778,Fabio Silva,Wolverhampton Wanderers,cold,23,39,617.0,1539.0,0.4311671784537054,0.5060968847063025,0.1458670988654781,0.3508771929824561,1.0,1.2307692307692308,0.400909681611436
8780,Joël Veltman,Brighton,rain,40,80,3156.0,5784.0,0.09510896783038801,0.08898229399576194,0.08555133079847908,0.07780082987551867,1.475,1.25,0.5456431535269709
8780,Joël Veltman,Brighton,cold,49,71,3621.0,5319.0,0.06971697448795255,0.1057327178648835,0.09942004971002485,0.0676818950930626,1.4489795918367347,1.2394366197183098,0.6807670614777214
8786,Stefan Ortega Moreno,Manchester City,rain,6,6,533.0,363.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.6666666666666665,0.6810506566604128
8786,Stefan Ortega Moreno,Manchester City,cold,6,6,471.0,425.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.3333333333333335,0.9023354564755839
8808,Wataru Endo,Liverpool,rain,7,22,375.0,1343.0,0.11193059742450709,0.09816109877542954,0.0,0.06701414743112435,2.2857142857142856,2.1818181818181817,0.27922561429635145
8808,Wataru Endo,Liverpool,cold,13,16,682.0,1036.0,0.02405610511794988,0.1519286351343149,0.0,0.08687258687258688,2.1538461538461537,2.25,0.6583011583011583
8816,Liam Cooper,Leeds United,rain,16,48,1424.0,4000.0,0.027689479390849887,0.07747188059147445,0.06320224719101124,0.045,1.0625,1.1666666666666667,0.356
8816,Liam Cooper,Leeds United,cold,27,37,2325.0,3099.0,0.05451805603600315,0.07181763818482113,0.03870967741935484,0.05808325266214908,0.9629629629629629,1.2702702702702702,0.750242013552759
8821,Donny van de Beek,Manchester United,rain,15,27,382.0,807.0,0.7321839743532748,0.05421433158108063,0.9424083769633509,0.0,1.2,1.7407407407407407,0.47335811648079307
8821,Donny van de Beek,Manchester United,cold,13,29,156.0,1033.0,0.6317529461991327,0.21770743870456757,1.1538461538461537,0.17424975798644723,1.0,1.793103448275862,0.1510164569215876
8831,Iyenoma Destiny Udogie,Tottenham Hotspur,rain,4,24,337.0,2100.0,0.11228165282516872,0.2118818886311991,0.0,0.2142857142857143,2.25,1.875,0.16047619047619047
8831,Iyenoma Destiny Udogie,Tottenham Hotspur,cold,13,15,1114.0,1323.0,0.19237734063041914,0.20293463769109069,0.16157989228007183,0.20408163265306123,2.076923076923077,1.8,0.8420256991685563
8845,Hee-Chan Hwang,Wolverhampton Wanderers,rain,31,55,1931.0,3144.0,0.23649598167970937,0.44636384228543013,0.2796478508544795,0.5438931297709924,0.7419354838709677,1.5818181818181818,0.6141857506361323
8845,Hee-Chan Hwang,Wolverhampton Wanderers,cold,44,42,2250.0,2825.0,0.4810265234857797,0.27530335678793155,0.64,0.2867256637168142,1.1818181818181819,1.380952380952381,0.7964601769911505
8852,Konstantinos Tsimikas,Liverpool,rain,13,35,448.0,1843.0,0.06889885790379977,0.2795815870127419,0.0,0.4395008138903961,1.4615384615384615,2.085714285714286,0.24308193163320674
8852,Konstantinos Tsimikas,Liverpool,cold,29,19,1462.0,829.0,0.1771763777080031,0.34632531845148995,0.24623803009575923,0.5428226779252111,2.103448275862069,1.631578947368421,0.56703146374829
8858,Guglielmo Vicario,Tottenham Hotspur,rain,8,30,720.0,2700.0,0.0,0.0,0.0,0.0,2.25,1.6,0.26666666666666666
8858,Guglielmo Vicario,Tottenham Hotspur,cold,19,19,1710.0,1710.0,0.0,0.0,0.0,0.0,1.894736842105263,1.5789473684210527,1.0
8859,Mikkel Damsgaard,Brentford,rain,12,37,586.0,1174.0,0.38370616978778155,0.3888498849649572,0.0,0.15332197614991483,1.8333333333333333,1.0,0.4991482112436116
8859,Mikkel Damsgaard,Brentford,cold,25,24,1026.0,734.0,0.4810215008298033,0.25590397900970246,0.08771929824561403,0.12261580381471389,1.36,1.0416666666666667,0.7153996101364523
8864,Matthew Cash,Aston Villa,rain,29,92,2304.0,7435.0,0.09963996457372556,0.15831614785627898,0.0390625,0.15736381977135172,1.7241379310344827,1.4021739130434783,0.30988567585743104
8864,Matthew Cash,Aston Villa,cold,54,67,4413.0,5326.0,0.13572857715189454,0.15164867193353126,0.16315431679129844,0.10138941043935411,1.3888888888888888,1.5522388059701493,0.8285767930904995
8865,Ollie Watkins,Aston Villa,rain,34,112,2872.0,9828.0,0.5208033621038795,0.6194252383318685,0.5327298050139275,0.6227106227106227,1.8823529411764706,1.4107142857142858,0.2922262922262922
8865,Ollie Watkins,Aston Villa,cold,59,87,5067.0,7633.0,0.5694771994097195,0.6154745878263981,0.586145648312611,0.6131272107952312,1.3559322033898304,1.632183908045977,0.6638281147648369
8905,Conor Townsend,West Bromwich Albion,rain,5,20,450.0,1787.0,0.22078280188143254,0.11923189028976641,0.0,0.10072747621712368,1.6,0.6,0.2518186905428092
8905,Conor Townsend,West Bromwich Albion,cold,7,18,630.0,1607.0,0.1303352879892502,0.14331575442515843,0.14285714285714285,0.056004978220286245,0.42857142857142855,0.9444444444444444,0.39203484754200374
8918,Max Lowe,Sheffield United,rain,8,10,438.0,615.0,0.19781627641250824,0.03867859434245562,0.0,0.0,0.125,1.0,0.7121951219512195
8918,Max Lowe,Sheffield United,cold,5,13,316.0,737.0,0.003701030141143481,0.14825147769971167,0.0,0.0,0.0,0.8461538461538461,0.4287652645861601
8923,Ivo Grbic,Sheffield United,rain,5,4,416.0,360.0,0.0,0.0,0.0,0.0,0.2,0.5,0.8653846153846154
8923,Ivo Grbic,Sheffield United,cold,2,7,180.0,596.0,0.0,0.0,0.0,0.0,0.5,0.2857142857142857,0.30201342281879195
