home_team,rain_flag,cold_flag,matches,avg_points,avg_goal_difference,avg_total_goals,avg_strength_proxy
Norwich City,0,0,7,0.42857142857142855,-2.4285714285714284,4.142857142857143,0.715
Norwich City,0,1,9,1.5555555555555556,-0.3333333333333333,3.0,0.5111111111111111
Norwich City,1,0,11,0.36363636363636365,-1.2727272727272727,2.3636363636363638,0.35818181818181816
Norwich City,1,1,11,0.5454545454545454,-1.3636363636363635,2.6363636363636362,0.9127272727272726
Nottingham Forest,0,0,5,1.8,0.2,2.6,0.86
Nottingham Forest,0,1,5,0.8,-0.6,2.6,0.968
Nottingham Forest,1,0,12,1.4166666666666667,0.08333333333333333,2.9166666666666665,1.001111111111111
Nottingham Forest,1,1,16,1.25,0.0625,2.9375,0.88125
Sheffield United,0,0,7,0.5714285714285714,-0.7142857142857143,2.4285714285714284,1.1642857142857144
Sheffield United,0,1,12,0.4166666666666667,-1.1666666666666667,2.6666666666666665,0.5616666666666666
Sheffield United,1,0,11,0.9090909090909091,-1.3636363636363635,3.0,0.8145454545454545
Sheffield United,1,1,27,1.4814814814814814,-0.37037037037037035,2.6666666666666665,0.9051851851851851
Southampton,0,0,9,0.6666666666666666,-1.0,3.4444444444444446,0.8777777777777778
Southampton,0,1,18,1.4444444444444444,-0.3333333333333333,3.0,1.2544444444444443
Southampton,1,0,29,1.103448275862069,-0.4482758620689655,2.793103448275862,0.9910344827586206
Southampton,1,1,20,1.0,-0.1,2.3,1.137
Tottenham Hotspur,0,0,16,2.25,1.1875,3.1875,1.929375
Tottenham Hotspur,0,1,17,2.3529411764705883,1.4705882352941178,3.3529411764705883,1.48
Tottenham Hotspur,1,0,28,1.9285714285714286,0.39285714285714285,2.4642857142857144,1.6657142857142857
Tottenham Hotspur,1,1,34,1.7058823529411764,0.6176470588235294,3.3823529411764706,1.606470588235294
Watford,0,0,7,1.1428571428571428,-0.7142857142857143,3.5714285714285716,0.7778571428571429
Watford,0,1,10,1.1,-0.1,2.9,1.0219999999999998
Watford,1,0,13,0.5384615384615384,-1.3846153846153846,2.3076923076923075,0.5753846153846154
Watford,1,1,8,0.75,-1.25,3.5,0.815
West Bromwich Albion,0,0,1,0.0,-3.0,3.0,0.0
West Bromwich Albion,0,1,2,2.0,0.5,0.5,0.74
West Bromwich Albion,1,0,2,0.5,-0.5,0.5,0.605
West Bromwich Albion,1,1,14,0.7142857142857143,-1.5,3.5,0.75
West Ham United,0,0,16,1.5,0.0625,2.8125,1.4725
West Ham United,0,1,19,1.6842105263157894,0.7368421052631579,2.6315789473684212,1.3263157894736841
West Ham United,1,0,31,1.3548387096774193,0.12903225806451613,2.5806451612903225,1.3088172043010755
West Ham United,1,1,29,1.6206896551724137,0.0,3.793103448275862,1.3441379310344828
Wolverhampton Wanderers,0,0,14,0.9285714285714286,-0.6428571428571429,2.642857142857143,1.0625
Wolverhampton Wanderers,0,1,18,1.6666666666666667,-0.05555555555555555,2.388888888888889,1.3322222222222222
Wolverhampton Wanderers,1,0,22,1.6363636363636365,-0.09090909090909091,2.4545454545454546,0.9627272727272728
Wolverhampton Wanderers,1,1,41,1.4146341463414633,0.14634146341463414,2.3902439024390243,1.2765853658536583
